trade_id,contract,data_pregao,bar_sinal_ts_et,sinal_preco_close,sinal_nivel,direcao,bar_entrada_ts_et,entrada_preco_teorico,entrada_slippage_ticks,entrada_preco_efetivo,stop_teorico,alvo_teorico,bar_saida_ts_et,saida_motivo,saida_preco_teorico,saida_slippage_ticks,saida_preco_efetivo,comissao_rt,pnl_bruto,pnl_liquido
2,MNQZ4,2024-09-17,2024-09-17T09:31:00,19813.5,19820.0,SHORT,2024-09-17T09:32:00,19813.75,0,19813.75,19826.25,19753.75,2024-09-17T09:49:00,ALVO,19753.75,0,19753.75,1.44,120.0,118.56
3,MNQZ4,2024-09-17,2024-09-17T10:54:00,19817.75,19820.0,SHORT,2024-09-17T10:55:00,19817.75,0,19817.75,19830.25,19757.75,2024-09-17T10:59:00,ALVO,19757.75,0,19757.75,1.44,120.0,118.56
4,MNQZ4,2024-09-18,2024-09-18T10:11:00,19659.0,19657.75,LONG,2024-09-18T10:12:00,19659.0,0,19659.0,19646.5,19719.0,2024-09-18T10:43:00,ALVO,19719.0,0,19719.0,1.44,120.0,118.56
5,MNQZ4,2024-09-18,2024-09-18T11:28:00,19663.0,19657.75,LONG,2024-09-18T11:29:00,19663.25,0,19663.25,19650.75,19723.25,2024-09-18T11:30:00,STOP,19650.75,0,19650.75,1.44,-25.0,-26.44
6,MNQZ4,2024-09-19,2024-09-19T09:30:00,20034.75,20058.0,SHORT,2024-09-19T09:31:00,20034.75,0,20034.75,20047.25,19974.75,2024-09-19T09:32:00,STOP,20047.25,0,20047.25,1.44,-25.0,-26.44
7,MNQZ4,2024-09-20,2024-09-20T09:32:00,20040.5,20075.0,SHORT,2024-09-20T09:33:00,20041.25,0,20041.25,20053.75,19981.25,2024-09-20T09:34:00,STOP,20053.75,0,20053.75,1.44,-25.0,-26.44
8,MNQZ4,2024-09-20,2024-09-20T10:12:00,19984.25,19981.25,LONG,2024-09-20T10:13:00,19984.25,0,19984.25,19971.75,20044.25,2024-09-20T10:13:00,STOP,19971.75,0,19971.75,1.44,-25.0,-26.44
9,MNQZ4,2024-09-24,2024-09-24T10:10:00,20034.75,20022.5,LONG,2024-09-24T10:11:00,20034.5,0,20034.5,20022.0,20094.5,2024-09-24T10:14:00,STOP,20022.0,0,20022.0,1.44,-25.0,-26.44
10,MNQZ4,2024-09-24,2024-09-24T12:26:00,20173.5,20179.25,SHORT,2024-09-24T12:27:00,20173.25,0,20173.25,20185.75,20113.25,2024-09-24T12:27:00,STOP,20185.75,0,20185.75,1.44,-25.0,-26.44
11,MNQZ4,2024-09-25,2024-09-25T09:34:00,20186.25,20192.5,SHORT,2024-09-25T09:35:00,20185.25,0,20185.25,20197.75,20125.25,2024-09-25T09:35:00,STOP,20197.75,0,20197.75,1.44,-25.0,-26.44
12,MNQZ4,2024-09-26,2024-09-26T10:56:00,20235.25,20229.0,LONG,2024-09-26T10:57:00,20234.75,0,20234.75,20222.25,20294.75,2024-09-26T10:57:00,STOP,20222.25,0,20222.25,1.44,-25.0,-26.44
13,MNQZ4,2024-09-27,2024-09-27T11:50:00,20240.75,20236.5,LONG,2024-09-27T11:51:00,20240.25,0,20240.25,20227.75,20300.25,2024-09-27T12:00:00,STOP,20227.75,0,20227.75,1.44,-25.0,-26.44
14,MNQZ4,2024-09-30,2024-09-30T14:35:00,20130.0,20118.0,LONG,2024-09-30T14:36:00,20130.25,0,20130.25,20117.75,20190.25,2024-09-30T15:45:00,ALVO,20190.25,0,20190.25,1.44,120.0,118.56
15,MNQZ4,2024-10-02,2024-10-02T09:39:00,19897.5,19877.75,LONG,2024-10-02T09:40:00,19897.5,0,19897.5,19885.0,19957.5,2024-10-02T09:41:00,STOP,19885.0,0,19885.0,1.44,-25.0,-26.44
16,MNQZ4,2024-10-02,2024-10-02T10:20:00,19992.75,20011.5,SHORT,2024-10-02T10:21:00,19992.75,0,19992.75,20005.25,19932.75,2024-10-02T10:29:00,STOP,20005.25,0,20005.25,1.44,-25.0,-26.44
17,MNQZ4,2024-10-03,2024-10-03T10:02:00,20066.0,20068.25,SHORT,2024-10-03T10:03:00,20066.0,0,20066.0,20078.5,20006.0,2024-10-03T10:04:00,STOP,20078.5,0,20078.5,1.44,-25.0,-26.44
18,MNQZ4,2024-10-07,2024-10-07T14:30:00,20082.0,20058.0,LONG,2024-10-07T14:31:00,20082.25,0,20082.25,20069.75,20142.25,2024-10-07T14:32:00,STOP,20069.75,0,20069.75,1.44,-25.0,-26.44
19,MNQZ4,2024-10-08,2024-10-08T09:36:00,20096.0,20107.75,SHORT,2024-10-08T09:37:00,20096.25,0,20096.25,20108.75,20036.25,2024-10-08T09:37:00,STOP,20108.75,0,20108.75,1.44,-25.0,-26.44
20,MNQZ4,2024-10-09,2024-10-09T10:07:00,20297.75,20300.75,SHORT,2024-10-09T10:08:00,20297.25,0,20297.25,20309.75,20237.25,2024-10-09T10:16:00,STOP,20309.75,0,20309.75,1.44,-25.0,-26.44
21,MNQZ4,2024-10-10,2024-10-10T09:50:00,20330.25,20322.25,LONG,2024-10-10T09:51:00,20330.75,0,20330.75,20318.25,20390.75,2024-10-10T09:51:00,STOP,20318.25,0,20318.25,1.44,-25.0,-26.44
22,MNQZ4,2024-10-10,2024-10-10T12:26:00,20473.25,20474.5,SHORT,2024-10-10T12:27:00,20473.25,0,20473.25,20485.75,20413.25,2024-10-10T13:09:00,ALVO,20413.25,0,20413.25,1.44,120.0,118.56
23,MNQZ4,2024-10-11,2024-10-11T09:33:00,20341.25,20339.0,LONG,2024-10-11T09:34:00,20341.0,0,20341.0,20328.5,20401.0,2024-10-11T09:34:00,STOP,20328.5,0,20328.5,1.44,-25.0,-26.44
24,MNQZ4,2024-10-11,2024-10-11T10:29:00,20456.25,20468.5,SHORT,2024-10-11T10:30:00,20456.25,0,20456.25,20468.75,20396.25,2024-10-11T10:31:00,STOP,20468.75,0,20468.75,1.44,-25.0,-26.44
25,MNQZ4,2024-10-14,2024-10-14T09:31:00,20557.0,20566.25,SHORT,2024-10-14T09:32:00,20556.75,0,20556.75,20569.25,20496.75,2024-10-14T09:32:00,STOP,20569.25,0,20569.25,1.44,-25.0,-26.44
26,MNQZ4,2024-10-15,2024-10-15T09:35:00,20645.5,20652.0,SHORT,2024-10-15T09:36:00,20645.0,0,20645.0,20657.5,20585.0,2024-10-15T10:13:00,ALVO,20585.0,0,20585.0,1.44,120.0,118.56
27,MNQZ4,2024-10-15,2024-10-15T10:16:00,20570.0,20563.0,LONG,2024-10-15T10:17:00,20570.25,0,20570.25,20557.75,20630.25,2024-10-15T10:20:00,STOP,20557.75,0,20557.75,1.44,-25.0,-26.44
28,MNQZ4,2024-10-16,2024-10-16T09:32:00,20311.75,20306.75,LONG,2024-10-16T09:33:00,20311.5,0,20311.5,20299.0,20371.5,2024-10-16T09:35:00,STOP,20299.0,0,20299.0,1.44,-25.0,-26.44
29,MNQZ4,2024-10-18,2024-10-18T09:45:00,20491.0,20509.75,SHORT,2024-10-18T09:46:00,20491.25,0,20491.25,20503.75,20431.25,2024-10-18T10:07:00,STOP,20503.75,0,20503.75,1.44,-25.0,-26.44
30,MNQZ4,2024-10-21,2024-10-21T10:06:00,20525.25,20526.0,SHORT,2024-10-21T10:07:00,20525.5,0,20525.5,20538.0,20465.5,2024-10-21T10:16:00,STOP,20538.0,0,20538.0,1.44,-25.0,-26.44
31,MNQZ4,2024-10-22,2024-10-22T13:42:00,20540.0,20543.75,SHORT,2024-10-22T13:43:00,20539.75,0,20539.75,20552.25,20479.75,2024-10-22T13:49:00,STOP,20552.25,0,20552.25,1.44,-25.0,-26.44
32,MNQZ4,2024-10-23,2024-10-23T09:31:00,20434.25,20423.75,LONG,2024-10-23T09:32:00,20434.0,0,20434.0,20421.5,20494.0,2024-10-23T09:32:00,STOP,20421.5,0,20421.5,1.44,-25.0,-26.44
33,MNQZ4,2024-10-24,2024-10-24T11:51:00,20281.0,20268.0,LONG,2024-10-24T11:52:00,20281.25,0,20281.25,20268.75,20341.25,2024-10-24T12:12:00,STOP,20268.75,0,20268.75,1.44,-25.0,-26.44
34,MNQZ4,2024-10-25,2024-10-25T13:43:00,20504.5,20511.75,SHORT,2024-10-25T13:44:00,20504.5,0,20504.5,20517.0,20444.5,2024-10-25T13:47:00,STOP,20517.0,0,20517.0,1.44,-25.0,-26.44
35,MNQZ4,2024-10-28,2024-10-28T11:43:00,20535.75,20522.0,LONG,2024-10-28T11:44:00,20535.75,0,20535.75,20523.25,20595.75,2024-10-28T12:01:00,STOP,20523.25,0,20523.25,1.44,-25.0,-26.44
36,MNQZ4,2024-10-29,2024-10-29T09:32:00,20455.0,20451.0,LONG,2024-10-29T09:33:00,20455.75,0,20455.75,20443.25,20515.75,2024-10-29T09:33:00,STOP,20443.25,0,20443.25,1.44,-25.0,-26.44
37,MNQZ4,2024-10-29,2024-10-29T10:27:00,20542.0,20555.0,SHORT,2024-10-29T10:28:00,20542.25,0,20542.25,20554.75,20482.25,2024-10-29T10:30:00,STOP,20554.75,0,20554.75,1.44,-25.0,-26.44
38,MNQZ4,2024-10-30,2024-10-30T09:31:00,20663.25,20639.75,LONG,2024-10-30T09:32:00,20663.75,0,20663.75,20651.25,20723.75,2024-10-30T09:32:00,STOP,20651.25,0,20651.25,1.44,-25.0,-26.44
39,MNQZ4,2024-10-31,2024-10-31T09:35:00,20287.75,20287.0,LONG,2024-10-31T09:36:00,20288.0,0,20288.0,20275.5,20348.0,2024-10-31T09:36:00,STOP,20275.5,0,20275.5,1.44,-25.0,-26.44
